Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
how many cards in a tarot deck,Informational,6600,"0.44,1.00,0.67,0.55,0.36,0.82,0.82,0.82,0.67,0.36,0.67,0.82",18,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",12000000
how to read tarot cards,Informational,6600,"1.00,0.80,0.65,0.80,0.50,0.20,1.00,0.50,1.00,1.00,0.20,0.65",23,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",89100000
how many tarot cards are there,Informational,5400,"0.24,0.24,0.54,0.81,0.66,0.66,1.00,0.16,1.00,0.81,0.08,0.08",32,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",68500000
how to shuffle tarot cards,Informational,4400,"0.54,1.00,0.81,1.00,0.81,0.43,0.66,0.66,0.15,1.00,0.03,0.54",7,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",43700000
are tarot cards evil,Informational,3600,"0.66,0.44,0.44,0.35,0.29,0.35,0.23,0.35,1.00,0.35,1.00,0.35",28,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",7280000
how many cards are in a tarot deck,Informational,2900,"0.28,0.67,0.54,0.36,0.20,0.02,0.67,0.43,0.36,0.43,1.00,0.54",22,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",12900000
how to use tarot cards,Informational,2900,"1.00,0.19,0.29,0.66,0.35,0.12,0.12,0.44,0.35,0.10,0.05,0.54",16,0.00,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, Discussions and forums, Related searches",41900000
what are tarot cards,Informational,2900,"0.20,0.36,0.54,0.43,0.81,0.43,0.43,1.00,0.23,0.67,0.54,0.02",57,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",113000000
how to do a tarot reading,Informational,2400,"0.36,0.19,0.19,0.19,0.10,1.00,0.54,0.43,0.54,0.19,0.24,0.24",11,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",166000000
how to use tarot cards balatro,Informational,1900,"0.01,0.36,1.00,0.54,0.07,0.54,0.54,0.08,0.00,0.00,0.00,0.00",27,0.00,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches",10
what is tarot,Informational,1900,"0.53,0.44,0.44,0.44,0.44,0.80,0.36,0.80,0.44,0.44,1.00,0.44",57,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches",130000000
how to read tarot,Informational,1600,"0.19,0.15,0.24,0.36,0.24,1.00,0.19,0.15,0.13,0.24,0.15,0.19",20,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",72200000
what is tarot reading,Informational,1600,"0.44,1.00,0.36,0.24,0.44,0.44,0.36,0.36,0.44,0.44,0.27,0.03",36,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches",102000000
how many cards in tarot deck,Informational,1300,"0.65,0.65,0.20,0.54,0.12,0.10,0.01,0.00,0.20,1.00,0.04,0.04",44,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",13100000
what tarot card am i,Informational,1300,"0.08,0.08,0.05,0.07,0.07,0.08,0.10,0.16,1.00,0.66,0.18,0.16",19,0.00,0.00,"Sitelinks, AI Overview, Video, Discussions and forums, Related searches",53800000
are tarot cards real,Informational,1000,"1.00,0.76,0.76,0.76,0.76,0.76,0.68,0.76,0.76,0.76,0.76,0.54",25,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",32200000
how many tarot cards in a deck,Informational,1000,"0.10,0.16,0.16,1.00,0.10,0.43,0.08,0.54,0.04,0.00,0.00,0.43",43,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",12500000
how to do tarot cards,Informational,1000,"0.34,1.00,0.30,0.24,0.16,0.24,0.24,0.24,0.20,0.20,0.16,0.16",25,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Discussions and forums, Related searches",50200000
how to pull tarot cards,Informational,1000,"0.04,0.05,0.04,0.04,0.03,0.04,0.05,0.05,0.04,1.00,0.05,0.43",13,0.00,0.00,"Sitelinks, AI Overview, Video, Video carousel, Related searches",64600000
what does the moon tarot card meaning in love,Informational,1000,"1.00,0.00,0.00",11,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask",
what does the tower tarot card mean,Informational,1000,"0.41,0.41,0.37,0.54,0.37,0.37,0.37,0.24,0.29,0.29,1.00,0.54",23,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",2040000
what is a clarifying card in tarot,Informational,1000,"1.00,0.00,0.00,0.00,0.00",1,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Related searches",227000
what tarot card represents me,Informational,1000,"0.19,1.00,0.13,0.13,0.08,0.10,0.05,0.04,0.04,0.04,0.03,0.03",22,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches",5620000
