Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
what does the moon tarot card meaning in love,Informational,1000,"1.00,0.00,0.00",11,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask",
what does the tower tarot card mean,Informational,1000,"0.41,0.41,0.37,0.54,0.37,0.37,0.37,0.24,0.29,0.29,1.00,0.54",23,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",2040000
what does the hanged man tarot card mean,Informational,880,"0.16,0.16,0.13,0.16,0.02,1.00,0.13,0.10,0.13,0.16,0.16,0.20",30,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",638000
what does the death card mean in tarot,Informational,720,"1.00,0.76,0.45,0.45,0.45,0.76,0.45,0.24,0.67,0.45,0.76,0.45",25,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",7930000
what does the empress tarot card mean,Informational,720,"0.46,0.46,0.37,0.37,0.31,0.37,0.37,0.08,0.31,0.31,1.00,0.05",25,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Related searches",864000
what does the fool tarot card mean,Informational,720,"0.47,0.33,0.33,0.33,0.33,0.07,1.00,0.33,0.33,0.47,0.47,0.07",16,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",1630000
what does the hermit tarot card mean,Informational,720,"0.60,0.80,0.80,1.00,0.80,0.60,0.60,0.60,0.60,0.60,0.60,0.60",25,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",920000
what does the high priestess tarot card mean,Informational,720,"0.37,0.31,0.25,0.37,0.31,0.25,0.25,0.31,0.31,0.37,1.00,0.31",25,0.00,0.00,"Sitelinks, AI Overview, Instant answer, Image, Video, Knowledge panel, Related searches",944000
what does the moon tarot card mean,Informational,720,"1.00,0.75,0.75,0.75,0.75,0.75,0.75,0.50,0.75,0.75,0.75,0.75",34,0.00,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches",8360000
what does death mean in tarot,Informational,590,"0.59,0.32,1.00,0.39,0.59,0.48,0.88,0.59,0.88,0.39,0.48,0.39",30,0.00,0.00,"Sitelinks, Instant answer, Video, Video carousel, People also ask, Knowledge panel, Related searches",16400000
what does death tarot card mean,Informational,590,"0.36,0.30,0.45,0.24,0.67,1.00,0.20,0.45,0.20,0.24,0.55,0.55",31,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",7670000
what does the devil card mean in tarot,Informational,590,"0.67,0.53,0.53,0.67,1.00,1.00,0.80,0.80,1.00,0.80,1.00,1.00",27,0.00,0.00,"Featured snippet, Sitelinks, Image, Video, People also ask, Knowledge panel, Related searches",2440000
what does the lovers tarot card mean,Informational,590,"1.00,0.71,0.71,0.57,0.71,0.14,0.57,0.57,0.57,0.71,0.57,0.57",39,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",4630000
what does the magician tarot card mean,Informational,590,"1.00,1.00,0.81,0.81,0.54,0.66,0.81,0.81,0.54,0.81,0.66,0.01",41,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",1270000
what does death card mean in tarot,Informational,480,"0.67,1.00,1.00,0.28,0.28,0.35,0.67,0.54,0.24,0.67,0.80,0.17",28,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",7840000
what does hermit mean in tarot cards,Informational,480,"0.67,0.29,0.67,0.19,0.81,0.67,0.54,0.67,0.67,0.19,0.19,1.00",12,0.03,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",891000
what does the chariot mean in tarot,Informational,480,"0.67,0.67,0.54,0.54,0.67,0.67,0.44,0.44,0.44,0.67,0.54,1.00",27,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",805000
what does the death card mean in tarot reading,Informational,480,"0.67,0.08,0.30,0.16,0.20,0.24,1.00,0.76,0.76,0.08,0.55,0.76",26,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",4580000
what does the death tarot card mean,Informational,480,"0.31,0.31,0.20,0.20,0.31,1.00,0.00,0.25,0.00,0.02,0.20,0.25",19,0.00,0.00,"Sitelinks, AI Overview, Video, Related searches",7940000
what does the devil tarot card mean,Informational,480,"1.00,1.00,0.84,0.68,0.54,0.54,0.54,0.54,0.43,0.05,0.54,0.68",18,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",2480000
what does the emperor tarot card mean,Informational,480,"0.83,0.83,0.67,0.83,0.67,1.00,0.83,0.83,0.67,0.67,0.22,0.83",30,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches",1080000
what does the hanged man mean in tarot,Informational,480,"0.66,0.54,0.54,0.54,0.81,1.00,0.81,0.36,0.81,0.81,0.81,0.81",24,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",780000
what does the stars mean in tarot,Informational,480,"0.67,0.29,0.67,0.15,0.36,0.67,0.54,0.67,0.67,0.19,0.67,1.00",35,0.00,0.00,"Sitelinks, Instant answer, Image pack, Video, Knowledge panel, Related searches",4870000
what does the sun tarot card mean,Informational,480,"1.00,1.00,1.00,1.00,0.67,0.67,0.67,0.00,0.67,0.00,0.00,0.67",19,0.00,0.00,"AI Overview, Video, People also ask, Related searches",19600000
what does the fool mean in tarot,Informational,390,"0.16,0.20,0.02,0.16,0.13,1.00,0.16,0.13,0.16,0.20,0.16,0.00",33,0.00,0.00,"Featured snippet, Sitelinks, Image pack, Video, Knowledge panel, Related searches",2230000
what does the hanged man in tarot cards mean,Informational,390,"0.44,0.23,0.44,0.15,0.81,0.67,0.54,0.67,0.67,0.00,0.67,1.00",31,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",618000
what does the hermit card mean in tarot,Informational,390,"0.54,0.81,0.81,0.81,1.00,0.44,0.44,1.00,0.36,0.24,0.03,0.02",21,0.00,0.00,"Featured snippet, Video, People also ask, Knowledge panel, Related searches",940000
what does the star mean in tarot,Informational,390,"0.08,0.08,0.08,0.00,0.00,0.08,0.06,1.00,0.00,0.08,0.08,0.02",30,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Knowledge panel, Related searches",24700000
what does the star tarot card mean,Informational,390,"1.00,1.00,0.67,0.67,0.67,0.67,0.67,0.00,0.00,0.67,0.00,0.67",26,0.00,0.00,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches",8520000
what does the tarot card high priestess mean,Informational,390,"1.00,0.54,0.66,0.66,0.81,0.81,0.81,0.81,0.66,0.54,0.54,0.66",28,0.02,0.01,"Sitelinks, AI Overview, Instant answer, Video, Knowledge panel, Related searches",940000
what does the wheel of fortune tarot card mean,Informational,390,"1.00,1.00,1.00,1.00,0.80,0.80,0.18,0.07,0.67,0.67,0.67,0.67",10,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches",1030000
what does the world tarot card mean,Informational,390,"1.00,0.67,0.67,0.67,0.33,0.67,0.67,0.00,0.33,0.33,0.33,0.67",20,0.00,0.00,"Featured snippet, Sitelinks, Video, People also ask, Related searches",18100000
